"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"elementwise_kernel","na","add","fprop","2655","na","0","0","0","7","512,1,1","274,1,1"
"elementwise_kernel","na","add_","fprop","3456","na","0","0","0","7","512,1,1","235,1,1"
"ComputeInternalGradientsCUDAKernel","torch.nn.functional","layer_norm","bprop","6656","-","0","0","0","7","512,1,1","700,1,1"
"ComputeGradientFusedParamsCUDAKernel","torch.nn.functional","layer_norm","bprop","1888","-","0","0","0","7","256,1,1","3,1,1"
"LayerNormBackwardCUDAKenrel","torch.nn.functional","layer_norm","bprop","3104","-","0","0","0","7","256,1,1","700,1,1"
"GammaBetaBackwardCUDAKernel","torch.nn.functional","layer_norm","bprop","13023","-","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1472","na","0","0","0","7","512,1,1","1,1,1"
"elementwise_kernel","na","add_","fprop","1440","na","0","0","0","7","512,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2912","-","700000","1120000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6879","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1408","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","linear","bprop","20831","0","56000000","740000","0","7","256,1,1","4,7,2"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","linear","bprop","19584","0","56000000","740000","0","7","256,1,1","4,22,1"
"elementwise_kernel","na","add_","fprop","1824","na","0","0","0","7","512,1,1","79,1,1"
"kernelPointwiseApply3","torch.nn.functional","dropout","bprop","2560","-","700000","1120000","0","7","512,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","relu","bprop","2688","-","140000","1680000","0","7","512,1,1","274,1,1"
"reduce_kernel","na","sum","fprop","6815","na","0","0","0","7","32,16,1","7,1,1"
"elementwise_kernel","na","add_","fprop","1408","na","0","0","0","7","512,1,1","1,1,1"
"volta_sgemm_64x32_sliced1x4_nt","torch.nn.functional","linear","bprop","17664","0","56000000","740000","0","7","256,1,1","4,7,2"
"volta_sgemm_64x32_sliced1x4_nn","torch.nn.functional","linear","bprop","17311","0","56000000","740000","0","7","256,1,1","4,22,1"
